"","IP","X_","audio","condition","experimentName","item","response1","response1_time","sound1","time","trialnumber","userCode","userFileName","view"
"1","62.176.19.146",1417797933679,"undefined","","HSElist4","","",NA,NA,2014-12-05 08:45:34,1,"BSD1",1,"undefined"
"2","62.176.19.146",1417797935113,"undefined","","HSElist4","","",NA,NA,2014-12-05 08:45:35,2,"BSD1",1,"undefined"
"3","62.176.19.146",1417797943787,"undefined","","HSElist4","","",NA,1,2014-12-05 08:45:44,3,"BSD1",1,"undefined"
"4","62.176.19.146",1417797953249,"undefined","","HSElist4","","",NA,1,2014-12-05 08:45:53,4,"BSD1",1,"undefined"
"5","62.176.19.146",1417797961964,"undefined","","HSElist4","","",NA,1,2014-12-05 08:46:02,5,"BSD1",1,"undefined"
"6","62.176.19.146",1417797974104,"undefined","","HSElist4","","",NA,1,2014-12-05 08:46:14,6,"BSD1",1,"undefined"
"7","62.176.19.146",1417797982599,"undefined","","HSElist4","","",NA,1,2014-12-05 08:46:23,7,"BSD1",1,"undefined"
"8","62.176.19.146",1417797995125,"1_4_fill","NM_Pl","HSElist4","fill","",NA,1,2014-12-05 08:46:35,9,"BSD1",1,"stimulus.ejs"
"9","62.176.19.146",1417798005519,"2_4_exp","NM_Sg","HSElist4","exp","",NA,1,2014-12-05 08:46:46,10,"BSD1",1,"stimulus.ejs"
"10","62.176.19.146",1417798016295,"3_4_exp","M_Sg","HSElist4","exp","Ошибка!",8324,1,2014-12-05 08:46:56,11,"BSD1",1,"stimulus.ejs"
"11","86.30.43.133",1418030042238,"undefined","","HSElist4","","",NA,NA,2014-12-08 01:14:00,1,"LMG2",2,"undefined"
"12","86.30.43.133",1418030063983,"undefined","","HSElist4","","",NA,NA,2014-12-08 01:14:22,2,"LMG2",2,"undefined"
"13","86.30.43.133",1418030079623,"undefined","","HSElist4","","",NA,1,2014-12-08 01:14:37,3,"LMG2",2,"undefined"
"14","86.30.43.133",1418030099715,"undefined","","HSElist4","","Ошибка!",4097,1,2014-12-08 01:14:57,4,"LMG2",2,"undefined"
"15","86.30.43.133",1418030115477,"undefined","","HSElist4","","",NA,1,2014-12-08 01:15:13,5,"LMG2",2,"undefined"
"16","86.30.43.133",1418030134683,"undefined","","HSElist4","","",NA,1,2014-12-08 01:15:32,6,"LMG2",2,"undefined"
"17","86.30.43.133",1418030143718,"undefined","","HSElist4","","Ошибка!",4434,1,2014-12-08 01:15:41,7,"LMG2",2,"undefined"
"18","86.30.43.133",1418030158739,"1_4_fill","NM_Pl","HSElist4","fill","Ошибка!",4923,1,2014-12-08 01:15:56,9,"LMG2",2,"stimulus.ejs"
"19","86.30.43.133",1418030169676,"2_4_exp","NM_Sg","HSElist4","exp","Ошибка!",6324,1,2014-12-08 01:16:07,10,"LMG2",2,"stimulus.ejs"
"20","86.30.43.133",1418030181010,"3_4_exp","M_Sg","HSElist4","exp","",NA,1,2014-12-08 01:16:19,11,"LMG2",2,"stimulus.ejs"
"21","86.30.43.133",1418030194616,"4_4_fill","NM_Pauc","HSElist4","fill","Ошибка!",8982,1,2014-12-08 01:16:32,12,"LMG2",2,"stimulus.ejs"
"22","86.30.43.133",1418030211058,"5_4_exp","NM_Pl","HSElist4","exp","Ошибка!",11300,1,2014-12-08 01:16:49,13,"LMG2",2,"stimulus.ejs"
"23","86.30.43.133",1418030221204,"6_4_fill","M_Pl","HSElist4","fill","",NA,1,2014-12-08 01:16:59,14,"LMG2",2,"stimulus.ejs"
"24","86.30.43.133",1418030233927,"7_4_fill","M_Pauc","HSElist4","fill","",NA,1,2014-12-08 01:17:12,15,"LMG2",2,"stimulus.ejs"
"25","86.30.43.133",1418030246258,"8_4_exp","M_Pl","HSElist4","exp","",NA,1,2014-12-08 01:17:24,16,"LMG2",2,"stimulus.ejs"
"26","62.176.19.146",1418030254482,"undefined","","HSElist4","","",NA,NA,2014-12-08 01:17:34,1,"WDV3",3,"undefined"
"27","62.176.19.146",1418030343175,"undefined","","HSElist4","","",NA,NA,2014-12-08 01:19:03,1,"SLQ4",4,"undefined"
"28","62.176.19.146",1418030344775,"undefined","","HSElist4","","",NA,NA,2014-12-08 01:19:04,2,"SLQ4",4,"undefined"
"29","62.176.19.146",1418030354462,"undefined","","HSElist4","","",NA,1,2014-12-08 01:19:14,3,"SLQ4",4,"undefined"
"30","86.30.43.133",1418030391991,"undefined","","HSElist4","","",NA,NA,2014-12-08 01:19:51,2,"ILG4",4,"undefined"
"31","86.30.43.133",1418030390785,"undefined","","HSElist4","","",NA,NA,2014-12-08 01:19:51,1,"ILG4",4,"undefined"
"32","62.176.19.146",1418030394922,"undefined","","HSElist4","","",NA,1,2014-12-08 01:19:55,4,"SLQ4",4,"undefined"
"33","86.30.43.133",1418030402297,"undefined","","HSElist4","","",NA,1,2014-12-08 01:20:00,3,"ILG4",4,"undefined"
"34","86.30.43.133",1418030411817,"undefined","","HSElist4","","Ошибка!",3658,1,2014-12-08 01:20:09,4,"ILG4",4,"undefined"
"35","86.30.43.133",1418030421548,"undefined","","HSElist4","","Ошибка!",6317,1,2014-12-08 01:20:19,5,"ILG4",4,"undefined"
"36","86.30.43.133",1418030434181,"undefined","","HSElist4","","",NA,1,2014-12-08 01:20:32,6,"ILG4",4,"undefined"
"37","86.30.43.133",1418030442697,"undefined","","HSElist4","","Ошибка!",3277,1,2014-12-08 01:20:40,7,"ILG4",4,"undefined"
"38","86.30.43.133",1418030453737,"1_4_fill","NM_Pl","HSElist4","fill","Ошибка!",4703,1,2014-12-08 01:20:51,9,"ILG4",4,"stimulus.ejs"
"39","86.30.43.133",1418030465108,"2_4_exp","NM_Sg","HSElist4","exp","Ошибка!",6142,1,2014-12-08 01:21:03,10,"ILG4",4,"stimulus.ejs"
"40","86.30.43.133",1418030476929,"3_4_exp","M_Sg","HSElist4","exp","",NA,1,2014-12-08 01:21:15,11,"ILG4",4,"stimulus.ejs"
"41","86.30.43.133",1418030490418,"4_4_fill","NM_Pauc","HSElist4","fill","",NA,1,2014-12-08 01:21:28,12,"ILG4",4,"stimulus.ejs"
"42","62.176.19.146",1418030496187,"undefined","","HSElist4","","",NA,1,2014-12-08 01:21:36,5,"SLQ4",4,"undefined"
"43","86.30.43.133",1418030502725,"5_4_exp","NM_Pl","HSElist4","exp","Ошибка!",6158,1,2014-12-08 01:21:40,13,"ILG4",4,"stimulus.ejs"
"44","86.30.43.133",1418030512365,"6_4_fill","M_Pl","HSElist4","fill","",NA,1,2014-12-08 01:21:50,14,"ILG4",4,"stimulus.ejs"
"45","86.30.43.133",1418030523066,"7_4_fill","M_Pauc","HSElist4","fill","",NA,1,2014-12-08 01:22:01,15,"ILG4",4,"stimulus.ejs"
